foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q24052782,Carla Lockhart,Q215519,Democratic Unionist Party,20501,Q30173038,General election 2019,1
,Q6250866,John O'Dowd,Q76382,Sinn Féin,12291,Q30173038,General election 2019,2
Q76130890,,Eóin Tennyson,Q244927,Alliance Party of Northern Ireland,6433,Q30173038,General election 2019,3
,Q20675966,Doug Beattie,Q841045,Ulster Unionist Party,6197,Q30173038,General election 2019,4
,Q5289533,Dolores Kelly,Q175443,Social Democratic and Labour Party,4623,Q30173038,General election 2019,5
,Q392000,David Simpson,Q215519,Democratic Unionist Party,22317,Q25052149,General election 2017,1
,Q6250866,John O'Dowd,Q76382,Sinn Féin,14325,Q25052149,General election 2017,2
,Q20675966,Doug Beattie,Q841045,Ulster Unionist Party,7900,Q25052149,General election 2017,3
,,Declan McAlinden,Q175443,Social Democratic and Labour Party,4397,Q25052149,General election 2017,4
,,Tara Doyle,Q244927,Alliance Party of Northern Ireland,2319,Q25052149,General election 2017,5
,Q392000,David Simpson,Q215519,Democratic Unionist Party,15430,Q3586935,General election 2015,1
,Q6203978,Jo-Anne Dobson,Q841045,Ulster Unionist Party,13166,Q3586935,General election 2015,2
,Q24052781,Catherine Seeley,Q76382,Sinn Féin,11593,Q3586935,General election 2015,3
,Q5289533,Dolores Kelly,Q175443,Social Democratic and Labour Party,4238,Q3586935,General election 2015,4
,,Peter Lavery,Q244927,Alliance Party of Northern Ireland,1780,Q3586935,General election 2015,5
Q76119905,,Martin Kelly,Q19903723,Cannabis Is Safer Than Alcohol,460,Q3586935,General election 2015,6
,,Damien Harte,Q1860218,Workers' Party of Ireland,351,Q3586935,General election 2015,7
Q63854077,,Amandeep Singh Bhogal,Q7058484,Northern Ireland Conservatives,201,Q3586935,General election 2015,8
,Q392000,David Simpson,Q215519,Democratic Unionist Party,14000,Q215622,General election 2010,1
,,Harry Hamilton,Q7879942,Ulster Conservatives and Unionists,10639,Q215622,General election 2010,2
,Q6250866,John O'Dowd,Q76382,Sinn Féin,10237,Q215622,General election 2010,3
,Q5289533,Dolores Kelly,Q175443,Social Democratic and Labour Party,5276,Q215622,General election 2010,4
,,Brendan Heading,Q244927,Alliance Party of Northern Ireland,1231,Q215622,General election 2010,5
,Q392000,David Simpson,Q215519,Democratic Unionist Party,16679,Q428598,General election 2005,1
,Q192556,David Trimble,Q841045,Ulster Unionist Party,11281,Q428598,General election 2005,2
,Q6250866,John O'Dowd,Q76382,Sinn Féin,9305,Q428598,General election 2005,3
,Q5289533,Dolores Kelly,Q175443,Social Democratic and Labour Party,5747,Q428598,General election 2005,4
,,Alan Castle,Q244927,Alliance Party of Northern Ireland,955,Q428598,General election 2005,5
,Q7815865,Tom French,Q1860218,Workers' Party of Ireland,355,Q428598,General election 2005,6
,Q192556,David Trimble,Q841045,Ulster Unionist Party,17095,Q590740,General election 2001,1
,Q392000,David Simpson,Q215519,Democratic Unionist Party,15037,Q590740,General election 2001,2
,Q5221985,Dara O'Hagan,Q76382,Sinn Féin,10771,Q590740,General election 2001,3
,Q5289533,Dolores Kelly,Q175443,Social Democratic and Labour Party,7607,Q590740,General election 2001,4
,Q7815865,Tom French,Q1860218,Workers' Party of Ireland,527,Q590740,General election 2001,5
,Q192556,David Trimble,Q841045,Ulster Unionist Party,20836,Q918503,General election 1997,1
,Q4981853,Bríd Rodgers,Q175443,Social Democratic and Labour Party,11584,Q918503,General election 1997,2
,,Bernadette O'Hagan,Q76382,Sinn Féin,5773,Q918503,General election 1997,3
,Q6820881,Mervyn Carrick,Q215519,Democratic Unionist Party,5482,Q918503,General election 1997,4
,,William Ramsay,Q244927,Alliance Party of Northern Ireland,3017,Q918503,General election 1997,5
,Q7815865,Tom French,Q1860218,Workers' Party of Ireland,554,Q918503,General election 1997,6
,,Brian Price,Q7058484,Northern Ireland Conservatives,433,Q918503,General election 1997,7
,,Jack Lyons,Q491782,Natural Law Party,108,Q918503,General election 1997,8
,Q192556,David Trimble,Q841045,Ulster Unionist Party,26824,Q543609,General election 1992,1
,Q4981853,Bríd Rodgers,Q175443,Social Democratic and Labour Party,10661,Q543609,General election 1992,2
,,Brendan Curran,Q76382,Sinn Féin,2777,Q543609,General election 1992,3
,,William Ramsay,Q244927,Alliance Party of Northern Ireland,2541,Q543609,General election 1992,4
,,Collette Jones,Q7058484,Northern Ireland Conservatives,1556,Q543609,General election 1992,5
,Q7815865,Tom French,Q1860218,Workers' Party of Ireland,1120,Q543609,General election 1992,6
,Q192556,David Trimble,Q841045,Ulster Unionist Party,20547,Q7898476,1990 Upper Bann by-election,1
,Q4981853,Bríd Rodgers,Q175443,Social Democratic and Labour Party,6698,Q7898476,1990 Upper Bann by-election,2
,,Sheena Campbell,Q76382,Sinn Féin,2033,Q7898476,1990 Upper Bann by-election,3
,Q5932534,Hugh Ross,Q7879973,Ulster Independence Movement,1534,Q7898476,1990 Upper Bann by-election,4
,Q7815865,Tom French,Q1860218,Workers' Party of Ireland,1083,Q7898476,1990 Upper Bann by-election,5
,,Colette Jones,Q7058484,Northern Ireland Conservatives,1038,Q7898476,1990 Upper Bann by-election,6
,,William Ramsay,Q244927,Alliance Party of Northern Ireland,948,Q7898476,1990 Upper Bann by-election,7
,Q5525575,Gary McMichael,Q1781051,Ulster Democratic Party,600,Q7898476,1990 Upper Bann by-election,8
,,Peter Doran,Q3499324,Green Party (UK),576,Q7898476,1990 Upper Bann by-election,9
,Q24055730,Erskine Holmes,Q327591,Independent Labour,235,Q7898476,1990 Upper Bann by-election,10
,,Alistair Dunn,Q7550574,"Social Democratic Party (UK, 1988)",154,Q7898476,1990 Upper Bann by-election,11
,Q5661723,Harold McCusker,Q841045,Ulster Unionist Party,25137,Q918472,General election 1987,1
,Q4981853,Bríd Rodgers,Q175443,Social Democratic and Labour Party,8676,Q918472,General election 1987,2
,,Brendan Curran,Q76382,Sinn Féin,3126,Q918472,General election 1987,3
,,Mary Cook,Q244927,Alliance Party of Northern Ireland,2487,Q918472,General election 1987,4
,Q7815865,Tom French,Q1860218,Workers' Party of Ireland,2004,Q918472,General election 1987,5
,Q5661723,Harold McCusker,Q841045,Ulster Unionist Party,29311,Q20979176,1986 Upper Bann by-election,1
,Q7815865,Tom French,Q1860218,Workers' Party of Ireland,6978,Q20979176,1986 Upper Bann by-election,2
,Q5661723,Harold McCusker,Q841045,Ulster Unionist Party,24888,Q918466,General election 1983,1
,Q6139266,James McDonald,Q175443,Social Democratic and Labour Party,7807,Q918466,General election 1983,2
,Q6198868,Jim Wells,Q215519,Democratic Unionist Party,4547,Q918466,General election 1983,3
,,Brendan Curran,Q76382,Sinn Féin,4110,Q918466,General election 1983,4
,Q7815865,Tom French,Q1860218,Workers' Party of Ireland,2392,Q918466,General election 1983,5
